filename,recipe_key,recipe_type,DC,RF,proc,split,samples,mean,std,MAE,RMSE,MAPE
DC1000(1),DC1000_RF0,DC_only,1000,0,1,train,59,211754351.72881356,2036.6965428884705,4230.5084745762715,4654.6508616724195,0.00199784658090137
DC1000(2),DC1000_RF0,DC_only,1000,0,2,train,59,211755068.47457626,2009.999286246034,3526.508474576271,3932.8282659546076,0.0016653787803781336
DC1000(3),DC1000_RF0,DC_only,1000,0,3,test,60,211756719.73333332,1560.1668058967994,1954.1333333333334,2296.487753069892,0.0009228236208468429
DC1000RF300(1),DC1000_RF300,DC_RF,1000,300,1,train,62,211843666.32258064,12639.927430342661,2327.483870967742,2511.1344306970623,0.0010986829713220917
DC1000RF300(2),DC1000_RF300,DC_RF,1000,300,2,train,64,211841376.5,19203.391152345983,2990.0,3745.669499568802,0.0014115196716906848
DC1000RF300(3),DC1000_RF300,DC_RF,1000,300,3,test,63,211842234.92063493,13419.468770151308,4436.571428571428,4740.056178087826,0.0020942930947461373
DC1000RF400(1),DC1000_RF400,DC_RF,1000,400,1,train,63,211840666.41269842,15723.029306079627,2034.5396825396826,3606.7988005018506,0.000960447272277406
DC1000RF400(2),DC1000_RF400,DC_RF,1000,400,2,train,63,211839505.7777778,15402.635565490593,2168.3809523809523,4949.346469604899,0.001023683220569821
DC1000RF400(3),DC1000_RF400,DC_RF,1000,400,3,test,62,211844230.4516129,5483.920959164927,3046.1935483870966,5763.861787870821,0.0014379926250085097
DC1000RF500(1),DC1000_RF500,DC_RF,1000,500,1,train,64,211838563.25,19045.96023931322,3722.5,4578.943983059849,0.0017573159619575542
DC1000RF500(2),DC1000_RF500,DC_RF,1000,500,2,train,63,211840987.68253967,16999.170867572724,1978.4126984126983,2493.2732358430812,0.0009339211547974005
DC1000RF500(3),DC1000_RF500,DC_RF,1000,500,3,test,63,211842678.85714287,13937.243022736955,3256.3809523809523,9600.231108329284,0.001537197448291425
DC2000(1),DC2000_RF0,DC_only,2000,0,1,train,59,211754721.08474576,1740.284929799127,1618.7118644067796,1938.797250787461,0.0007644291112908185
DC2000(2),DC2000_RF0,DC_only,2000,0,2,train,59,211749348.06779662,1751.6958936636793,6147.525423728814,6383.200663606339,0.002903215352740687
DC2000(3),DC2000_RF0,DC_only,2000,0,3,test,59,211749485.83050847,2014.0457735742461,6095.457627118644,6463.382081557874,0.0028786270471233893
DC2000RF300(1),DC2000_RF300,DC_RF,2000,300,1,train,62,211771230.96774194,9530.134966663923,15266.322580645161,17888.797143067124,0.007208715955401898
DC2000RF300(2),DC2000_RF300,DC_RF,2000,300,2,train,63,211780649.65079364,25329.974721071445,19721.650793650795,28065.36754373759,0.00931120921919754
DC2000RF300(3),DC2000_RF300,DC_RF,2000,300,3,test,63,211772028.19047618,11203.847942810704,11478.603174603175,14843.18654873794,0.005420104128309392
DC2000RF400(1),DC2000_RF400,DC_RF,2000,400,1,train,63,211840913.26984128,19490.281890349375,3573.84126984127,6303.53845703864,0.0016871738177501284
DC2000RF400(2),DC2000_RF400,DC_RF,2000,400,2,train,63,211841149.46031746,18537.074227479698,3299.5555555555557,4584.851024911815,0.0015576409348180011
DC2000RF400(3),DC2000_RF400,DC_RF,2000,400,3,test,63,211838464.76190478,18173.90786720162,3984.253968253968,5324.386400298399,0.001880881594025585
DC2000RF500(1),DC2000_RF500,DC_RF,2000,500,1,train,61,211844810.4918033,1278.29685132083,4511.475409836065,4791.936396304683,0.002129615507932445
DC2000RF500(2),DC2000_RF500,DC_RF,2000,500,2,train,64,211841281.25,17743.34428560467,5473.75,5775.0840686521615,0.0025839255401915932
DC2000RF500(3),DC2000_RF500,DC_RF,2000,500,3,test,62,211844002.06451613,13341.38799650385,5206.709677419355,5936.0027823660985,0.002457876753196872
DC3000(1),DC3000_RF0,DC_only,3000,0,1,train,60,211743999.2,1648.3143389535867,2383.2,2710.0941189068203,0.0011255140781773905
DC3000(2),DC3000_RF0,DC_only,3000,0,2,train,60,211743822.4,2183.2735299697715,2573.0666666666666,3089.87231667157,0.0012151860711533066
DC3000(3),DC3000_RF0,DC_only,3000,0,3,test,60,211739984.8,1951.574653111345,6436.0,6705.876268865489,0.003039585128727777
DC3000R300(2),DC3000_RF300,DC_RF,3000,300,2,train,63,211790314.92063493,16419.225234802085,21463.619047619046,25519.822938132835,0.010133912426820078
DC3000RF300(1),DC3000_RF300,DC_RF,3000,300,1,train,61,211789353.44262296,16156.064932883883,22568.131147540982,26814.42438346185,0.010655430901222684
DC3000RF300(3),DC3000_RF300,DC_RF,3000,300,3,test,62,211735789.41935483,9685.714205098726,27650.322580645163,28348.579929160474,0.013058882019206151
DC3000RF400(1),DC3000_RF400,DC_RF,3000,400,1,train,62,211839897.03225806,13839.695576280597,34655.48387096774,35908.06946059753,0.016359220435464995
DC3000RF400(2),DC3000_RF400,DC_RF,3000,400,2,train,61,211777265.04918033,11682.131893954342,18717.377049180326,21741.774238005357,0.00883796695932253
DC3000RF400(3),DC3000_RF400,DC_RF,3000,400,3,test,61,211775966.6885246,13340.347904551005,12361.180327868853,16837.206824154186,0.0058366439454428124
DC3000RF500(1),DC3000_RF500,DC_RF,3000,500,1,train,63,211839697.7777778,19271.624944827807,4993.015873015873,5937.719684156456,0.002357058963872276
DC3000RF500(2),DC3000_RF500,DC_RF,3000,500,2,train,63,211840070.85714287,18903.733205549004,6251.174603174603,6574.976323211639,0.0029509393197082673
DC3000RF500(3),DC3000_RF500,DC_RF,3000,500,3,test,63,211840220.6984127,17703.185236341502,4982.349206349207,5416.692553784294,0.0023519578902842487
DCignRF300(1),DCign_RF300,RF_only,0,300,1,train,63,211839226.66666666,19238.89710728663,9770.15873015873,10598.82655379643,0.0046121240576402186
DCignRF300(2),DCign_RF300,RF_only,0,300,2,train,61,211843399.3442623,1791.6828144827925,7617.573770491803,7855.838401062394,0.003595854503324072
DCignRF300(3),DCign_RF300,RF_only,0,300,3,test,61,211844546.36065573,4003.8222640854656,7081.44262295082,7574.904970458402,0.0033427747540852155
DCignRF400(1),DCign_RF400,RF_only,0,400,1,train,62,211840149.41935483,3787.8479444069512,4332.645161290323,5592.1061414081005,0.0020452696943976437
DCignRF400(2),DCign_RF400,RF_only,0,400,2,train,62,211826795.0967742,13239.948180765075,12312.516129032258,14694.339906587249,0.00581265210193252
DCignRF400(3),DCign_RF400,RF_only,0,400,3,test,61,211833875.147541,8474.092749613455,9610.491803278688,12356.711579104707,0.004536947803694444
DCignRF500(1),DCign_RF500,RF_only,0,500,1,train,63,211840991.23809522,18948.970696771903,5059.047619047619,5980.229352718097,0.002388226600008535
DCignRF500(2),DCign_RF500,RF_only,0,500,2,train,62,211839207.22580644,6380.471934763273,9926.451612903225,13601.309842046641,0.0046859284580780605
DCignRF500(3),DCign_RF500,RF_only,0,500,3,test,62,211842643.3548387,13720.991108630664,5450.580645161291,6611.003925518862,0.0025729396710653407
