Timer,ULVAC.Stage1.Temp1,ULVAC.Stage2.Temp1,EN4.Power,EN4.Current,EN4.Volt,PLA5.Match.Load.Posi,PLA5.Match.Tune.Posi,PLA5.Match.Load.Pre,PLA5.Match.Tune.Pre,PLA5.Match.DCBias,SBRF5.Forward,SBRF5.Reflect,SBRF5.SetPower,PWESC.Volt1,PWESC.Volt2,OES.Data6,Line.Gauge.i,Ion.Gauge.i,Baratron.Gauge.i,Ar.MFC.i,Ar2.MFC.i,Ar.MFC.o,Ar2.MFC.o,PWPDS.Data,PWPDS.Data2,PWPDS.Data3,PWPDS.Data4,PWPDS.Data5,PWPDS.Data6,PWPDS.Data7,PWPDS.Data8
[2026.02.20 18:01:11],62.4,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.39E-03,2.81E-06,0.0,0,0,0,0,211747488,211739840,211741808,211746752,211735936,211747536,211744752,211763872
[2026.02.20 18:01:12],62.4,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.37E-03,2.83E-06,0.0,0,0,0,0,211742864,211733344,211743744,211748464,211737520,211746544,211744384,211763984
[2026.02.20 18:01:13],62.4,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.37E-03,2.75E-06,0.0,0,0,0,0,211745040,211737696,211746736,211747072,211737712,211746032,211742688,211764560
[2026.02.20 18:01:14],62.4,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.37E-03,2.75E-06,0.0,0,0,0,0,211745856,211737664,211745904,211748128,211737792,211748032,211746112,211765264
[2026.02.20 18:01:15],62.4,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.31E-03,2.73E-06,0.0,0,0,0,0,211746944,211735136,211746352,211747248,211735792,211748048,211745584,211765968
[2026.02.20 18:01:16],62.4,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.37E-03,2.68E-06,0.0,0,0,0,0,211735808,211741744,211741456,211744864,211745280,211740912,211748320,211753296
[2026.02.20 18:01:17],62.4,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.31E-03,2.61E-06,0.0,0,0,0,0,211734512,211740464,211741088,211743696,211744960,211740400,211747616,211752352
[2026.02.20 18:01:18],62.4,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.37E-03,2.64E-06,0.0,0,0,0,0,211732592,211748160,211740464,211745024,211745536,211741488,211748496,211757520
[2026.02.20 18:01:19],62.4,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.31E-03,2.57E-06,0.0,0,0,0,0,211730240,211748480,211740176,211744544,211745440,211740960,211748688,211756976
[2026.02.20 18:01:20],63.3,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.31E-03,2.55E-06,0.0,0,0,0,0,211732352,211744704,211740816,211743904,211745072,211741248,211749136,211753888
[2026.02.20 18:01:21],63.3,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.31E-03,2.53E-06,0.0,0,0,0,0,211732576,211742288,211736032,211742864,211746112,211741504,211744208,211753264
[2026.02.20 18:01:22],63.3,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.28E-03,2.71E-06,0.0,2,0,150,0,211733376,211743952,211736048,211743792,211745584,211741056,211745712,211756416
[2026.02.20 18:01:23],63.3,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.28E-03,2.51E-04,6.0,147,0,150,0,211734320,211741344,211735440,211744528,211744944,211741488,211747248,211755856
[2026.02.20 18:01:24],63.3,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.28E-03,5.62E-03,6.0,150,0,150,0,211733232,211740624,211735824,211743392,211746416,211742256,211747728,211751824
[2026.02.20 18:01:25],63.3,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.28E-03,5.71E-03,6.0,150,0,150,0,211734064,211742752,211736032,211742960,211745216,211740704,211743232,211754448
[2026.02.20 18:01:26],63.3,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.28E-03,5.62E-03,5.9,150,0,150,0,211734640,211745184,211736256,211742992,211745520,211741008,211746272,211752976
[2026.02.20 18:01:27],63.3,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.28E-03,5.71E-03,5.9,150,0,150,0,211736768,211730512,211735872,211742816,211743440,211740848,211745952,211753936
[2026.02.20 18:01:28],63.3,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.28E-03,5.62E-03,5.9,150,0,150,0,211735936,211731456,211736112,211743072,211743328,211741104,211744944,211754272
[2026.02.20 18:01:29],63.3,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.28E-03,5.58E-03,5.9,150,0,150,0,211734400,211732000,211735264,211744592,211742624,211742128,211744960,211755104
[2026.02.20 18:01:30],63.3,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.28E-03,5.54E-03,5.9,150,0,150,0,211733920,211730048,211734704,211744480,211744512,211740976,211744912,211752688
[2026.02.20 18:01:31],63.3,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.28E-03,5.54E-03,5.9,150,0,150,0,211735472,211747968,211737152,211744064,211744096,211741264,211748560,211753424
[2026.02.20 18:01:32],63.3,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.31E-03,5.54E-03,5.9,150,0,150,0,211736928,211739840,211736064,211745264,211743920,211740656,211748032,211754896
[2026.02.20 18:01:33],63.3,10,2993,4.9,612,80.0,80.0,80,80,608,0,0,0,0,0,0.0,4.28E-03,5.46E-03,5.8,150,0,150,0,211734096,211739152,211736768,211745792,211744960,211740784,211748896,211752912
[2026.02.20 18:01:34],63.3,10,2992,4.9,612,80.0,80.0,80,80,608,0,0,0,0,0,0.0,4.31E-03,5.50E-03,5.8,150,0,150,0,211732336,211747344,211737296,211745440,211744400,211740432,211747712,211754016
[2026.02.20 18:01:35],63.3,10,3002,4.9,611,80.0,80.0,80,80,608,0,0,0,0,0,0.0,4.31E-03,5.58E-03,5.8,150,0,150,0,211734176,211744784,211735920,211742208,211744992,211739184,211744080,211752880
[2026.02.20 18:01:36],63.3,10,3001,4.9,611,80.0,80.0,80,80,608,0,0,0,0,0,0.0,4.31E-03,5.54E-03,5.8,150,0,150,0,211735232,211745152,211736416,211741696,211746080,211740112,211745472,211752336
[2026.02.20 18:01:37],63.3,10,2999,3.9,785,80.0,80.0,80,80,608,0,0,0,0,0,0.0,4.31E-03,5.54E-03,6.0,150,0,150,0,211735376,211742496,211735488,211742336,211745648,211739088,211741920,211756544
[2026.02.20 18:01:38],63.3,10,3000,3.8,789,88.4,80.0,80,80,785,0,0,400,0,0,0.0,4.31E-03,5.46E-03,6.3,150,0,150,0,211739888,211753680,211736448,211742608,211797120,211756256,211742784,211758480
[2026.02.20 18:01:39],63.3,10,3000,3.8,789,88.4,71.1,80,80,785,400,0,400,0,0,0.0,4.31E-03,5.46E-03,6.0,150,0,150,0,211766656,211789712,211832048,211757872,211923968,211839328,211859216,211798656
[2026.02.20 18:01:40],63.3,10,3000,3.8,790,88.5,71.1,80,80,787,400,0,400,0,0,0.0,4.28E-03,5.58E-03,6.3,150,0,150,0,211786240,211777952,211828576,211756352,211930448,211821232,211859552,211800032
[2026.02.20 18:01:41],68.1,10,3000,3.8,790,88.5,71.1,80,80,787,399,0,400,0,0,0.0,4.28E-03,5.50E-03,6.0,150,0,150,0,211797232,211784864,211830608,211755104,211922016,211839680,211859536,211799824
[2026.02.20 18:01:42],68.1,14,3000,3.8,790,88.5,71.1,80,80,787,399,0,400,0,0,0.0,4.28E-03,5.46E-03,6.1,150,0,150,0,211778560,211787232,211816992,211754528,211925712,211821520,211859488,211798480
[2026.02.20 18:01:43],68.1,14,3000,3.8,790,88.5,71.0,80,80,787,399,0,400,0,0,0.0,4.28E-03,5.58E-03,6.0,150,0,150,0,211785616,211783552,211823920,211754592,211921984,211821136,211859888,211799920
[2026.02.20 18:01:44],68.1,14,3000,3.8,789,88.5,71.0,80,80,785,399,0,400,0,0,0.0,4.28E-03,5.62E-03,5.5,150,0,150,0,211803296,211785216,211822048,211753968,211921440,211825760,211859664,211798720
[2026.02.20 18:01:45],68.1,14,3000,3.8,789,88.5,71.0,80,80,785,400,0,400,0,0,0.0,4.28E-03,5.58E-03,5.5,150,0,150,0,211772192,211786192,211815472,211754144,211921792,211824880,211859600,211797920
[2026.02.20 18:01:46],68.1,14,3000,3.8,790,88.5,71.0,80,80,787,400,0,400,0,0,0.0,4.28E-03,5.46E-03,6.2,150,0,150,0,211798976,211784016,211814416,211753616,211921856,211823328,211860656,211798768
[2026.02.20 18:01:47],68.1,14,3000,3.8,790,88.4,71.0,80,80,787,399,0,400,0,0,0.0,4.28E-03,5.71E-03,5.5,150,0,150,0,211756800,211790768,211813456,211753440,211921776,211820480,211860512,211798688
[2026.02.20 18:01:48],68.1,14,3001,3.8,790,88.4,71.0,80,80,787,399,0,400,0,0,0.0,4.28E-03,5.50E-03,6.1,150,0,150,0,211774704,211785936,211815552,211753488,211918640,211815072,211860736,211800144
[2026.02.20 18:01:49],68.1,14,3000,3.8,789,88.4,71.0,80,80,787,399,0,400,0,0,0.0,4.28E-03,5.54E-03,5.8,150,0,150,0,211779488,211781152,211816320,211754384,211920224,211814432,211861920,211799984
[2026.02.20 18:01:50],68.1,14,3000,3.8,789,88.4,71.0,80,80,787,399,0,400,0,0,0.0,4.28E-03,5.62E-03,6.0,151,0,150,0,211792048,211777056,211826160,211755696,211921440,211817248,211861088,211798528
[2026.02.20 18:01:51],68.1,14,3000,3.8,790,88.4,71.0,80,80,787,399,0,400,0,0,0.0,4.28E-03,5.58E-03,6.4,150,0,150,0,211791136,211777712,211825664,211755872,211920864,211817760,211861920,211797968
[2026.02.20 18:01:52],68.1,14,3000,3.8,789,88.8,71.0,80,80,787,400,0,400,0,0,0.0,4.31E-03,5.46E-03,5.7,150,0,150,0,211775584,211782768,211825200,211755264,211923488,211813648,211861904,211798464
[2026.02.20 18:01:53],68.1,14,3000,3.8,789,88.8,70.8,80,80,788,400,0,400,0,0,0.0,4.28E-03,5.50E-03,6.4,150,0,150,0,211787696,211774080,211822288,211756832,211921152,211815600,211861872,211798064
[2026.02.20 18:01:54],68.1,14,3000,3.8,790,88.8,70.8,80,80,788,399,0,400,0,0,0.0,4.28E-03,5.54E-03,5.8,150,0,150,0,211776608,211782240,211813264,211753520,211921808,211815600,211861520,211800976
[2026.02.20 18:01:55],68.1,14,3000,3.8,790,88.8,70.8,80,80,788,399,0,400,0,0,0.0,4.26E-03,5.54E-03,6.1,150,0,150,0,211775152,211779840,211812528,211755856,211921744,211814624,211861600,211799808
[2026.02.20 18:01:56],68.1,14,3000,3.8,790,88.8,70.8,80,80,788,400,0,400,0,0,0.0,4.26E-03,5.54E-03,6.0,150,0,150,0,211783552,211780528,211823984,211755584,211921568,211815184,211861776,211798768
[2026.02.20 18:01:57],68.1,14,3000,3.8,789,88.8,70.8,80,80,788,400,0,400,0,0,0.0,4.26E-03,5.62E-03,6.1,150,0,150,0,211793536,211776736,211823264,211756048,211921072,211817264,211861488,211798960
[2026.02.20 18:01:58],68.1,14,3000,3.8,790,88.8,70.8,80,80,788,400,0,400,0,0,0.0,4.26E-03,5.54E-03,5.6,150,0,150,0,211759264,211787920,211818336,211752720,211921552,211842016,211861344,211800368
[2026.02.20 18:01:59],68.1,14,3000,3.8,790,88.8,70.8,80,80,788,400,0,400,0,0,0.0,4.26E-03,5.62E-03,6.0,150,0,150,0,211788288,211776784,211822576,211753136,211921264,211816400,211861552,211799696
[2026.02.20 18:02:00],68.1,14,3000,3.8,789,88.8,70.8,80,80,788,400,0,400,0,0,0.0,4.26E-03,5.54E-03,5.9,150,0,150,0,211757232,211793536,211804176,211754128,211919712,211835568,211861584,211799888
[2026.02.20 18:02:01],68.1,14,3000,3.8,789,88.8,70.8,80,80,788,400,0,400,0,0,0.0,4.26E-03,5.50E-03,5.7,150,0,150,0,211777488,211790496,211815728,211754320,211919568,211816768,211861664,211801216
[2026.02.20 18:02:02],67.6,13,3000,3.8,790,88.8,70.8,80,80,788,400,0,400,0,0,0.0,4.26E-03,5.54E-03,5.7,150,0,150,0,211772176,211779744,211823248,211756112,211920288,211832608,211861488,211801072
[2026.02.20 18:02:03],67.6,13,3000,3.8,790,88.8,70.8,80,80,788,400,0,400,0,0,0.0,4.26E-03,5.54E-03,5.6,150,0,150,0,211791088,211774704,211824112,211756224,211919360,211815360,211861360,211800672
[2026.02.20 18:02:04],67.6,13,3000,3.8,789,88.7,70.8,80,80,788,400,0,400,0,0,0.0,4.26E-03,5.54E-03,5.5,150,0,150,0,211759632,211791744,211819648,211756752,211921392,211841264,211861216,211801088
[2026.02.20 18:02:05],67.6,13,3000,3.8,789,88.7,70.8,80,80,788,399,0,400,0,0,0.0,4.26E-03,5.54E-03,5.6,150,0,150,0,211789824,211776176,211819696,211754192,211921328,211812192,211860336,211798848
[2026.02.20 18:02:06],67.6,13,3000,3.8,790,88.7,70.8,80,80,788,399,0,400,0,0,0.0,4.26E-03,5.54E-03,6.1,150,0,150,0,211770640,211784144,211821120,211755728,211920832,211835952,211861184,211801200
[2026.02.20 18:02:07],67.6,13,3000,3.8,790,88.7,70.8,80,80,787,399,0,400,0,0,0.0,4.26E-03,5.50E-03,6.0,150,0,150,0,211779040,211777552,211815520,211754512,211921488,211814288,211862272,211799952
[2026.02.20 18:02:08],67.6,13,3000,3.8,788,88.7,70.8,80,80,787,400,0,400,0,0,0.0,4.26E-03,5.54E-03,6.1,150,0,150,0,211756928,211792000,211802256,211754048,211921872,211839408,211860432,211800688
[2026.02.20 18:02:09],67.6,13,3000,3.8,789,88.7,70.8,80,80,787,400,0,400,0,0,0.0,4.28E-03,5.62E-03,5.9,150,0,150,0,211769200,211787584,211809136,211754656,211920480,211820912,211861680,211799824
[2026.02.20 18:02:10],67.6,13,3000,3.8,790,88.6,70.8,80,80,787,400,0,400,0,0,0.0,4.26E-03,5.54E-03,6.3,150,0,150,0,211766976,211782144,211806736,211756672,211921200,211843088,211861216,211799440
[2026.02.20 18:02:11],67.6,13,3000,3.8,790,88.6,70.8,80,80,785,400,0,400,0,0,0.0,4.26E-03,5.50E-03,5.4,150,0,150,0,211790928,211779232,211819584,211755136,211921232,211812720,211861232,211800608
[2026.02.20 18:02:12],67.6,13,3001,3.8,789,88.6,70.8,80,80,785,400,0,400,0,0,0.0,4.26E-03,5.54E-03,5.7,150,0,150,0,211787456,211772800,211822544,211756768,211919920,211816864,211860912,211799280
[2026.02.20 18:02:13],67.6,13,3000,3.8,789,88.6,70.8,80,80,787,400,0,400,0,0,0.0,4.26E-03,5.50E-03,5.6,150,0,150,0,211779728,211781024,211814112,211758512,211920000,211817536,211861152,211798704
[2026.02.20 18:02:14],67.6,13,3000,3.8,790,88.6,70.8,80,80,787,400,0,400,0,0,0.0,4.26E-03,5.50E-03,6.4,150,0,150,0,211779760,211776016,211820480,211757408,211920112,211813360,211861120,211799616
[2026.02.20 18:02:15],67.6,13,3000,3.8,790,88.6,70.8,80,80,787,400,0,400,0,0,0.0,4.26E-03,5.58E-03,5.5,150,0,150,0,211772160,211780528,211804112,211756928,211920624,211823824,211861472,211799680
[2026.02.20 18:02:16],67.6,13,3000,3.8,789,88.6,70.8,80,80,787,400,0,400,0,0,0.0,4.26E-03,5.54E-03,6.0,150,0,150,0,211774640,211783472,211816432,211756944,211920416,211814880,211861984,211800064
[2026.02.20 18:02:17],67.6,13,3000,3.8,789,88.6,70.8,80,80,787,399,0,400,0,0,0.0,4.28E-03,5.46E-03,5.9,150,0,150,0,211790064,211771072,211813872,211758096,211920848,211816496,211861440,211799696
[2026.02.20 18:02:18],67.6,13,3000,3.8,790,88.6,70.8,80,80,788,399,0,400,0,0,0.0,4.26E-03,5.54E-03,6.3,150,0,150,0,211786672,211775040,211822976,211753872,211921600,211814704,211861648,211801200
[2026.02.20 18:02:19],67.6,13,3000,3.8,790,88.6,70.8,80,80,788,399,0,400,0,0,0.0,4.26E-03,5.46E-03,5.7,150,0,150,0,211776320,211785424,211810336,211754528,211922400,211818400,211861840,211798160
[2026.02.20 18:02:20],67.6,13,3000,3.8,789,88.6,70.8,80,80,788,399,0,400,0,0,0.0,4.26E-03,5.42E-03,6.2,150,0,150,0,211779520,211771856,211819856,211753568,211919120,211813760,211861280,211798144
[2026.02.20 18:02:21],67.6,13,3000,3.8,789,88.6,70.8,80,80,788,400,0,400,0,0,0.0,4.26E-03,5.54E-03,6.1,150,0,150,0,211786608,211776144,211819680,211755328,211919616,211818192,211861328,211799360
[2026.02.20 18:02:22],67.6,13,3000,3.8,790,88.6,70.8,80,80,788,400,0,400,0,0,0.0,4.26E-03,5.58E-03,5.6,150,0,150,0,211770704,211779792,211813744,211754352,211917552,211813312,211860416,211799600
[2026.02.20 18:02:23],66.5,13,3000,3.8,788,88.6,70.8,80,80,788,399,0,400,0,0,0.0,4.24E-03,5.46E-03,5.7,150,0,150,0,211783136,211777872,211813040,211756080,211917632,211817008,211860896,211798768
[2026.02.20 18:02:24],66.5,13,3000,3.8,789,88.6,70.8,80,80,788,399,0,400,0,0,0.0,4.24E-03,5.54E-03,5.8,150,0,150,0,211790592,211776848,211824304,211755136,211917648,211816320,211861920,211800992
[2026.02.20 18:02:25],66.5,13,3000,3.8,789,88.6,70.8,80,80,788,399,0,400,0,0,0.0,4.24E-03,5.46E-03,6.3,150,0,150,0,211766096,211782432,211809952,211754496,211917456,211839968,211861376,211798256
[2026.02.20 18:02:26],66.5,13,3000,3.8,790,88.6,70.8,80,80,788,399,0,400,0,0,0.0,4.26E-03,5.58E-03,6.0,150,0,150,0,211782192,211780448,211817360,211754928,211919760,211814032,211861936,211797648
[2026.02.20 18:02:27],66.5,13,3000,3.8,790,88.6,70.8,80,80,788,399,0,400,0,0,0.0,4.24E-03,5.46E-03,5.5,150,0,150,0,211756672,211785744,211800208,211754240,211918944,211831328,211859760,211798480
[2026.02.20 18:02:28],66.5,13,3000,3.8,789,88.6,70.8,80,80,788,399,0,400,0,0,0.0,4.24E-03,5.54E-03,5.6,150,0,150,0,211769392,211782432,211808384,211753264,211918528,211814080,211860896,211797600
[2026.02.20 18:02:29],66.5,13,3000,3.8,789,88.6,70.8,80,80,788,399,0,400,0,0,0.0,4.24E-03,5.58E-03,6.3,150,0,150,0,211757344,211787328,211806352,211754160,211919248,211839408,211859296,211797424
[2026.02.20 18:02:30],66.5,13,3000,3.8,790,88.6,70.8,80,80,788,399,0,400,0,0,0.0,4.26E-03,5.62E-03,6.0,150,0,150,0,211790496,211775616,211821488,211756176,211920048,211814080,211859712,211796752
[2026.02.20 18:02:31],66.5,13,3000,3.8,789,88.6,70.8,80,80,788,399,0,400,0,0,0.0,4.24E-03,5.58E-03,5.5,150,0,150,0,211769216,211782352,211815248,211754336,211920176,211838992,211860048,211798304
[2026.02.20 18:02:32],66.5,13,3000,3.8,789,88.6,70.8,80,80,787,399,0,400,0,0,0.0,4.24E-03,5.46E-03,6.5,150,0,150,0,211780832,211773952,211813872,211753168,211921296,211811664,211860608,211799056
[2026.02.20 18:02:33],66.5,13,3000,3.8,790,88.6,70.8,80,80,787,400,0,400,0,0,0.0,4.24E-03,5.54E-03,5.4,150,0,150,0,211771632,211782544,211822464,211755808,211921088,211836112,211859920,211797712
[2026.02.20 18:02:34],66.5,13,3000,3.8,790,88.6,70.8,80,80,787,400,0,400,0,0,0.0,4.26E-03,5.54E-03,5.8,150,0,150,0,211787808,211776720,211821664,211760528,211920144,211817600,211859312,211796704
